domain,country,kind,name,verdict,platform_key,richness,products,crawl_delay,category_url,feed,scope
caffe4u.sk,SK,roaster,Caffe4U,allowed,woocommerce,high,"70 (listing states ""Zobrazených 1–16 z 70 výsledkov"", 5 pagination pages); coffee subcategories exist: /prazena-kava/, /prazena-zrnkova-kava/, /zelena-kava/, /kava-tyzdna/",none specified,https://caffe4u.sk/eshop/,https://caffe4u.sk/sitemap_index.xml (Yoast-style index named in robots.txt; not fetched),primary
urbancoffee.sk,SK,roaster,Urban Coffee,partially_restricted,shoptet,high,"~10 (10 product tiles with data-micro-product-id on /e-shop/, no pagination links present)",none specified,https://www.urbancoffee.sk/e-shop/,https://www.urbancoffee.sk/sitemap.xml (named in robots.txt; not fetched). Shoptet XML feeds (/export/...) exist by convention but /export/ is Disallowed.,primary
moritzcafe.sk,SK,roaster,Moritz Cafe,allowed,woocommerce,medium,"~20-30 (15 distinct /produkt/ links on page 1, pagination link to page/2 present; no numeric result-count label rendered)",none specified,https://www.moritzcafe.sk/kategoria-produktu/kava/,https://moritzcafe.sk/sitemap_index.xml (named in robots.txt; not fetched),primary
profileroastery.sk,SK,roaster,Profile Coffee Roastery,allowed,webflow,medium,"16 (16 JSON-LD Product/Offer entries on /produkty; subcategories /category/kava-pre-espresso, /category/kava-pre-filter, /category/blend)",none specified,https://www.profileroastery.sk/produkty,https://www.profileroastery.sk/sitemap.xml (named in robots.txt; not fetched). No dedicated product feed found.,primary
trinitybeans.sk,SK,roaster,Trinity Beans,allowed,woocommerce,high,~12-18 (9 distinct /produkt/ links on page 1 of /obchod/ plus a page/2 link; subcategories /kategoria-produktu/espresso/ and /kategoria-produktu/filter/),none specified,https://www.trinitybeans.sk/obchod/,https://www.trinitybeans.sk/sitemap.xml (named in robots.txt; not fetched),primary
kaan.sk,SK,roaster,Kaan Roastery,allowed,woocommerce,high,"17 coffee products on the single category page (17 WooCommerce product cards, no pagination)",none,https://kaan.sk/kategoria/kava/,https://kaan.sk/product-sitemap.xml (product sitemap from sitemap_index); no dedicated XML product feed found,primary
zarno.sk,SK,roaster,Zarno,allowed,woocommerce,high,"8 — listing states ""Zobrazuje sa 8 výsledkov""",none,https://zarno.sk/obchod/,http://zarno.sk/product-sitemap.xml (from sitemap index); WooCommerce RSS also exposed at https://zarno.sk/obchod/feed/,primary
egoroaster.com,SK,roaster,Ego Roaster,partially_restricted,upgates,medium,~11 coffee products linked from the /kava listing (10 single origins + blends: mr-choice/mr-classic/mr-intense 1kg),none,https://www.egoroaster.com/kava (subcategory of interest: /kava — Speciality coffee / Blendy),https://www.egoroaster.com/feed-rss.xml (RSS link exposed in page head/footer) and https://www.egoroaster.com/sitemap-products.xml.gz,primary
sweetbeans.coffee,SK,roaster,Sweet Beans Coffee Roastery,allowed,woocommerce,high,"66 total shop products (""Showing 1–12 of 66 results"", 12 per page); coffee-beans category is a subset — ~14 bean products linked from page 1",none,https://www.sweetbeans.coffee/shop/ (beans-only: https://www.sweetbeans.coffee/kategoria-produktu/coffee-beans/),https://www.sweetbeans.coffee/sitemap.xml and https://www.sweetbeans.coffee/sitemap.rss (both declared in robots.txt); no Google-Merchant-style XML feed found,primary
padmeroastery.sk,SK,roaster,Padmé Roastery,allowed,webnode,high,"15 products rendered on the e-shop page (15 data-wnd_product_item_data blocks), covering coffee, decaf, tasting sets and matcha","10 (seconds, for User-agent: *)","https://www.padmeroastery.sk/e-shop/ (collections via /e-shop/?collection=kava-na-espresso, kava-na-filter, decaf, kilove-balenia, vyberova-kava, …; also clean paths /kava-na-espresso/, /kava-na-filter/, /bezkofeinova-kava/)","none found — https://padmeroastery.sk/sitemap.xml is a flat URL sitemap (pages + a few /p/ product URLs), no dedicated product feed",primary
praziarenvelkezaluzie.sk,SK,roaster,Pražiareň Veľké Zálužie,partially_restricted,shoptet,medium,"23 items in ""ČERSTVO PRAŽENÁ KÁVA"" (listing states ""23 položiek celkom"", 12 per page, 2 pages via /strana-2/); a separate /vyberova-kava/ category also exists",none,https://www.praziarenvelkezaluzie.sk/cerstvo-prazena-kava/,https://www.praziarenvelkezaluzie.sk/sitemap.xml (named in robots.txt; not fetched),primary
kavanapredaj.sk,SK,roaster,Pressburg Coffee,allowed,woocommerce,low,"8 products total on /obchod/ (no pagination links), incl. 5 roasted-coffee blends + a test pack",none,https://www.kavanapredaj.sk/obchod/,https://www.kavanapredaj.sk/sitemap.xml (named in robots.txt; not fetched),primary
spiritcoffee.sk,SK,roaster,Spirit Coffee,allowed,woocommerce,high,"10 products in ""Káva"" (category counter ""Káva (10)"", 10 distinct /p/ links, no pagination); plus ""Kávové sety (3)""",none,https://spiritcoffee.sk/c/kava/,none found,primary
kavysveta.sk,SK,roaster,Kávy Sveta,allowed,woocommerce,medium,"13 coffees (""Kávy (13)"" filter counter; sub-categories Odrodové 9, Zmesy 4, Organické 4, Prémiové 2, Dezertné 2, Bezkofeínové 1); pagination to /kategoria-produktu/kavy/page/2/",none,https://kavysveta.sk/kategoria-produktu/kavy/,https://kavysveta.sk/product-sitemap.xml (product URLs + image entries; confirmed),primary
doubleshot.cz,CZ,roaster,doubleshot,allowed,other/unknown,high,"19 product links rendered on the first view with a ""Zobrazit další produkty"" load-more control, so more beyond that; roughly 15 coffees plus capsules/gift vouchers",none,https://www.doubleshot.cz/cs/taxons/doubleshot,https://www.doubleshot.cz/sitemap/sitemap.xml (named in robots.txt; not fetched),primary
nordbeans.cz,CZ,roaster,Nordbeans,allowed,custom,high,"~12 coffee products visible in the static HTML of /kava/ (listing is JS-rendered from a client-side template, so the real count may be higher; full catalog is enumerable via https://www.nordbeans.cz/1/sitemap_products.xml). Sub-categories: /filtry/, /espresso/, /decaf/, /kapsle/.",none,https://www.nordbeans.cz/kava/,"https://www.nordbeans.cz/1/sitemap_products.xml (product sitemap, listed in sitemap index)",primary
rustynails.cz,CZ,roaster,Rusty Nails Coffee Roasters,unreachable,other/unknown,unknown,unknown,unknown,n/a,none found,primary
candycane.coffee,CZ,roaster,Candycane Coffee,allowed,custom,high,"14 coffee product links on /kategorie/kava (single page, no pagination seen); sub-filters via ?subCategory=espresso|filtr|decaf|cascara",none,https://www.candycane.coffee/kategorie/kava,"https://www.candycane.coffee/sitemap.xml (page sitemap, includes product URLs; no dedicated product feed found)",primary
fathers.cz,CZ,roaster,Father's Coffee Roastery,allowed,custom,high,"44 distinct product URLs on /kava (server-rendered, single page, no pagination), spanning /kava/filtr/, /kava/espresso/, /kava/dripbagy/ and related sub-paths; roughly ~30 of those are whole-bean coffees.",none,https://fathers.cz/kava,https://fathers.cz/sitemap.xml (flat urlset with hreflang alternates covering product URLs; no separate product feed found),primary
coffeesource.eu,CZ,roaster,Coffee Source,partially_restricted,shopify,high,"24 (page label ""24 produktů""); 33 distinct /products/ links in the HTML including cross-sells. Related coffee collections: /collections/espresso, /collections/filtr, /collections/limitovane-edice, /collections/nove-kavy-v-prazirne, /collections/vyberove-kapsle",none,https://coffeesource.eu/collections/vyberova-kava,"https://coffeesource.eu/sitemap_products_1.xml?from=6095372091584&to=16481988870489 (Shopify product sitemap, from the sitemap index); also a Shopify agentic-discovery sitemap and a declared UCP/MCP catalog endpoint https://coffeesource.eu/api/ucp/mcp",primary
coffeespot.cz,CZ,roaster,Coffeespot,partially_restricted,shoptet,high,"~41 product cards rendered on the first page of /zrnkova-kava/ (Shoptet default paging; total across the category is larger — pagination/sort query params are partly disallowed, so page through path-based pagination only)",none specified,https://www.coffeespot.cz/zrnkova-kava/,https://www.coffeespot.cz/sitemap.xml (named in robots.txt; Shoptet XML feeds under /export/ exist but /export/ is Disallowed),primary
mamacoffee.cz,CZ,roaster,mamacoffee,partially_restricted,shoptet,high,~14 product cards on the first page of /en/coffee/ (subcategories split the catalogue; low tens of coffees overall),none specified,https://www.mamacoffee.cz/en/coffee/,"https://www.mamacoffee.cz/sitemap.xml (named in robots.txt). Shoptet XML feeds live under /export/, which is Disallowed.",primary
labohemecafe.cz,CZ,roaster,La Bohème Café,partially_restricted,shopify,medium,"533 <url> entries in sitemap_products_1.xml (whole catalogue incl. tea, brewing gear and vouchers; coffee is a subset). ~48 product cards on the homepage listing.",none specified,"https://labohemecafe.cz/ (homepage listing; collection URLs under https://labohemecafe.cz/collections/, enumerable via sitemap_collections_1.xml)","https://labohemecafe.cz/sitemap.xml → sitemap_products_1.xml?from=4380141715501&to=11596931793237 (533 product URLs), plus sitemap_agentic_discovery.xml, sitemap_collections_1.xml, and /en/ equivalents. Shopify .json product endpoints also exist but were not probed.",primary
industra.coffee,CZ,roaster,Industra Coffee,allowed,woocommerce,high,12 products per page with pagination up to at least /obchod/page/8/ → roughly 90-100 products across the whole shop (coffee plus gear/courses/vouchers),none specified,https://industra.coffee/obchod/,https://industra.coffee/sitemap.xml and https://industra.coffee/en/sitemap.xml (both named in robots.txt; Yoast-style index containing a product sitemap),primary
fiftybeans.cz,CZ,roaster,Fiftybeans,allowed,custom,high,"54 products total ('54 produktů' count label on /en/eshop), 48 shown on page 1 with ?Product_page=2 for the rest",none specified,"https://fiftybeans.cz/en/eshop (sub-categories: /en/espresso, /en/filter-coffee, /en/coffee-pods, /en/instant-coffee)",none found (robots.txt lists no Sitemap and no feed was named on the pages fetched; not brute-forced),primary
dos-mundos.cz,CZ,roaster,Dos Mundos,partially_restricted,shoptet,high,"18 products rendered on the single-druh arabica listing (18 data-micro-identifier blocks, no pagination); broader /kava/ tree adds espresso/filter subcategories",none declared,https://www.dos-mundos.cz/jednodruhova-kava-100--arabica/,https://www.dos-mundos.cz/sitemap.xml (declared in robots.txt; not fetched). Note /export/ — the usual Shoptet XML feed path — is Disallowed.,primary
beansmiths.com,CZ,roaster,Beansmith's Coffee Roastery (Kofárna),allowed,woocommerce,high,"~12 distinct /produkt/ items on the coffee category page (incl. 2 non-bean espresso-machine listings and a 'test-roast'), so roughly 9-10 live coffees; no pagination present",none declared,https://beansmiths.com/kategorie-produktu/kava/,"https://beansmiths.com/wp-sitemap.xml (declared in robots.txt; not fetched). WP REST API /wp-json/ is linked from the homepage and would expose /wp-json/wc/store/products, but that was not probed.",primary
rebelbean.cz,CZ,roaster,Rebelbean,partially_restricted,shoptet,high,"13 products rendered on /en/coffee/ (13 data-micro-identifier blocks, no pagination); sibling categories /en/specialty-coffee/, /en/decaf/, /en/coffee-specialities/, /en/coffee-tasting-set/ hold more",none declared,https://www.rebelbean.cz/en/coffee/,https://www.rebelbean.cz/sitemap.xml (declared in robots.txt; not fetched). /export/ (Shoptet's XML feed directory) is Disallowed.,primary
kavypitel.cz,CZ,roaster,Pražírna Kávy Pitel,partially_restricted,shoptet,high,"22 — the listing prints '22 položek celkem' and renders 22 product tiles on one page; the shop also slices the same beans by weight (/100g/, /250g/, /1000g/, /3000g/) and by origin (/afrika/, /amerika/, /indie/, /indonesie/), so naive crawling of all categories will duplicate items",none declared,https://www.kavypitel.cz/kategorie-prazena-kava-kavy-pitel/,https://www.kavypitel.cz/sitemap.xml (declared in robots.txt; not fetched). /export/ is Disallowed.,primary
aromaniac.cz,CZ,roaster,Aromaniac (formerly Čerstvá káva / Káva Káva),partially_restricted,custom,medium,"65 — the listing's embedded JSON reports ""total"":65 for the whole-bean coffee category, paginated ('zobrazuji …' control)","No 'Crawl-delay' directive, but 'Request-rate: 1/4s' is declared — treat as at most one request every 4 seconds",https://www.aromaniac.cz/zrnkova-kava/,https://www.aromaniac.cz/sitemap.xml (declared in robots.txt; not fetched). No separate XML product feed advertised.,primary
uprazeno.cz,CZ,roaster,Upraženo,allowed,custom,high,"~191 products total in sitemap; coffee subset roughly 60-90 (many blog posts, capsules, chocolate, gift vouchers also present)",none,"not fetched separately (request budget spent on robots, homepage, sitemap and product page); product listings reachable from sitemap, dataLayer item_category e.g. ""100% Arabiky""","https://www.uprazeno.cz/sitemap.xml (single flat sitemap, 363 URLs incl. 191 product URLs ending in -P/, with image:image blocks); no XML/JSON product feed found",primary
mojeprazirna.cz,CZ,roaster,Moje pražírna,partially_restricted,shoptet,medium,"~12 products shown on the main coffee category page (label ""10 produktů"" on one subgroup); coffee split across subcategories /100--arabica/, /100--robusta/, /kava-na-espresso/, /kava-na-filtr/, /bezkofeinova-decaffeinated-coffee/ — plausibly 20-40 coffee SKUs total",none,https://www.mojeprazirna.cz/cerstve-prazena-vyberova-kava/,"https://www.mojeprazirna.cz/sitemap.xml (standard Shoptet sitemap, named in robots); /export/ (Shoptet XML feeds) is Disallowed",primary
laprazirna.cz,CZ,roaster,LaPražírna,allowed,custom,medium,"~15 JSON-LD Products and ~20 distinct product links on /e-shop/kava; note each coffee is listed twice (250 g and 1 kg are separate SKUs), so roughly 10-12 distinct coffees",none,"https://www.laprazirna.cz/e-shop/kava (subcategories /e-shop/vyberova-kava/100-arabica-single-origin, /e-shop/kava/bezkofeinova-kava, /e-shop/kava/kavove-kapsle, /e-shop/kava/degustacni-balicek)",https://www.laprazirna.cz/sitemap.xml (flat sitemap listing /e-shop/<product-slug> URLs); no XML/JSON product feed found,primary
valasska-prazirna.cz,CZ,roaster,Valašská pražírna,partially_restricted,shoptet,high,~27 products on /kava/ in a single page (no /strana-2/ pagination link found),none,https://www.valasska-prazirna.cz/kava/,"https://www.valasska-prazirna.cz/sitemap.xml (Shoptet sitemap, named in robots); /export/ XML feeds Disallowed",primary
penerini.cz,CZ,roaster,Penerini Coffee,partially_restricted,shoptet,high,18 products on page 1 of /cerstveprazenakava/ with a /cerstveprazenakava/strana-2/ pagination link → roughly 20-36 fresh-roasted coffees,none,"https://eshop.penerini.cz/cerstveprazenakava/ (related: /vyberova-kava/, /kava-na-espresso/, /bezkofeinova-kava/)","https://eshop.penerini.cz/sitemap.xml (Shoptet sitemap, named in robots); /export/ feeds Disallowed",primary
prazirnahospodarsky.cz,CZ,roaster,Pražírna Hospodářský,allowed,custom,high,"7 coffees on the 450 g listing; catalogue is the same ~7 coffees split across three weight category pages (200 g / 450 g / 1000 g), so ~21 product URLs total plus gift packs/subscription",none,https://www.prazirnahospodarsky.cz/produkty/cerstve-prazena-kava.html,none found (https://www.prazirnahospodarsky.cz/sitemap.xml returns HTML 404; robots.txt names no sitemap),primary
kava-prazirna.cz,CZ,roaster,Coffee Mondo,allowed,eshop-rychle,high,"18 product URLs on the Arabica category (≈6 coffees × 250 g/500 g/1 kg); whole shop has 5 coffee categories (arabica, espresso, robusta, zelená káva, na filtr), so roughly 40-60 product URLs",none,https://www.kava-prazirna.cz/kava-arabica,https://www.kava-prazirna.cz/sitemap.xml (plain urlset of all pages including /...-dNN.htm product URLs). No XML/CSV product feed exposed publicly.,primary
lazenskakava.cz,CZ,roaster,Lázeňská káva,allowed,prestashop,high,"42 (""Zobrazení 1-12 z 42 položek"", 4 pages) in Pražená káva; site text claims ""pražíme 36 druhů káv""",none,https://eshop.lazenskakava.cz/prazena-kava,"Sitemaps named in robots.txt: https://www.lazenskakava.cz/sitemap.xml (+ .rss, .html). No dedicated product XML/CSV feed found; the eshop subdomain's own sitemap was not probed.",primary
cokafe.com,CZ,roaster,COKAFE,allowed,woocommerce,high,"11 distinct /produkt/ URLs on the category page (single page, no pagination) — e.g. Brazílie, Peru, Kolumbie, Nikaragua, Rwanda origins in espresso/filtr versions",none,https://cokafe.com/produkty/kava/,https://cokafe.com/sitemap_index.xml named in robots.txt (Yoast; will contain a product sitemap). No WooCommerce XML/CSV product feed found.,primary
kavamonro.cz,CZ,roaster,Káva MONRO,partially_restricted,eshop-rychle,high,"no count label shown; 17 product URLs on the fetched origin overview page, which itself links ~40 country subcategories (Australská … Sumaterská) plus decaf/robusta/ground/green categories — likely 150+ product URLs site-wide (sitemap.xml would give the exact figure)",2 (Crawl-delay: 2),https://www.kavamonro.cz/Arabiky-dle-zeme-puvodu-c31_0_1.htm (fetched as /Zrnkova-kava-c31_0_1.htm); hint page https://www.kavamonro.cz/Kava-MONRO-a1_0.htm is an article page,http://www.kavamonro.cz/sitemap.xml (declared in robots.txt). No separate XML/CSV product feed found; per-product data is fully available via the ProductGroup JSON-LD.,primary
thenaughtydog.cz,CZ,roaster,The Naughty Dog,no_robots,custom,high,~26 distinct coffees linked from the homepage (all as kofio.cz outbound links),none,"https://www.thenaughtydog.cz/ (section #section-our-coffee) - there is NO own e-shop; every coffee links out to the kofio.cz marketplace, e.g. https://www.kofio.cz/kava/etiopie-banko-gotiti-the-naughty-dog/21539",none found on thenaughtydog.cz; the shop host kofio.cz exposes Sitemap: https://www.kofio.cz/sitemap,primary
botacoffee.cz,CZ,roaster,Bota Coffee,partially_restricted,shoptet,high,"~40 coffees (31 product cards on page 1; pagination has exactly 2 pages, /kava/strana-2/ is the last)",none,https://www.botacoffee.cz/kava/,"https://www.botacoffee.cz/sitemap.xml (flat urlset of category + product URLs, confirmed 200 text/xml). Shoptet XML product feeds normally live under /export/ which robots.txt disallows.",primary
ankercoffee.cz,CZ,roaster,Anker Coffee,unreachable,other/unknown,unknown,unknown,unknown,https://www.ankercoffee.cz/ (hint; not verified),none found,primary
merrybeans.cz,CZ,roaster,Merrybeans,allowed,upgates,high,"~11 products on the single /e-shop page (10 coffees/cascara + capsules), no pagination",none,"https://www.merrybeans.cz/e-shop (sub-categories /espresso, /filtr, /cascara, /prislusenstvi, /pro-radost)",https://www.merrybeans.cz/sitemap.xml (named in robots.txt); the category page also links an Upgates RSS feed at https://www.merrybeans.cz/feed-rss.xml,primary
25coffeeroasters.com,CZ,roaster,25 Coffee Roasters,partially_restricted,opencart,high,"~85 (22 product links on page 1; pagination exposes page=2, page=3, page=4)",none,https://25coffeeroasters.com/coffee,"https://25coffeeroasters.com/sitemap.xml (200 application/xml, urlset of product URLs with lastmod; not referenced from robots.txt)",primary
qb.coffee,CZ,roaster,QB Coffee Roasters,allowed,woocommerce,high,"21 products rendered on the single /kava/ listing page (21 data-micro-identifier items); no pagination links, so ~21 coffee SKUs (includes capsules)",none,https://eshop.qb.coffee/kava/,https://eshop.qb.coffee/sitemap.xml (named in eshop robots.txt; not fetched). No XML/JSON product feed URL exposed publicly.,primary
prazirnagrain.cz,CZ,roaster,GRAIN pražírna,allowed,woocommerce,medium,"~33 product links on page 1 of /e-shop/ with a second page (/e-shop/page/2/), so roughly 40-60 SKUs total; mixed catalogue (coffees, gift packs, brewers, filters) - whole-bean coffees are roughly 12-18 of them",none,https://www.prazirnagrain.cz/e-shop/,https://www.prazirnagrain.cz/sitemap_index.xml (Yoast index; should contain a product sitemap). WooCommerce also typically exposes /wp-json/wc/store/products - not probed.,primary
daliacoffee.cz,CZ,roaster,Dalia Coffee,allowed,shoptet,high,"12 products on page 1 with a /kategorie/vyberova-kava/strana-2/ link, so roughly 13-24 selection coffees; subcategories Kávy na filtr, Kávy na espresso, Bez kofeinu, Drip bagy overlap this listing",none,https://www.daliacoffee.cz/kategorie/vyberova-kava/,https://www.daliacoffee.cz/sitemap.xml (declared in robots.txt; not fetched). Shoptet XML export paths live under /export/ which robots.txt disallows.,primary
typhooncoffee.cz,CZ,roaster,Typhoon Coffee,allowed,custom,medium,"Sitemap (xml/www-typhooncoffee-cz-cz.xml) lists 85 URLs total; roughly 35-45 are coffee product URLs under /katalog/filtr/ and /katalog/espresso/, though many lots appear twice (same coffee listed under both filtr and espresso, plus duplicate/root-level slugs), so realistically ~20-25 distinct coffees plus equipment and education articles",none,https://www.typhooncoffee.cz/katalog/filtr/ (plus https://www.typhooncoffee.cz/katalog/espresso/),"https://www.typhooncoffee.cz/sitemap.xml is a sitemapindex pointing to https://www.typhooncoffee.cz/xml/www-typhooncoffee-cz-cz.xml (85 URLs, coffee + equipment + articles). No dedicated product XML/JSON feed found.",primary
port76.cz,CZ,roaster,Pražírna Port 76,allowed,shoptet,medium,"12 products on /zrnkova-kava/ (12 data-micro-identifier items), no pagination links, so ~12 whole-bean SKUs; subcategories /jednodruhove-kavy/, /smesi/, /bezkofeinova-kava/, /robusta/ split the same range",none,https://www.port76.cz/zrnkova-kava/,https://www.port76.cz/sitemap.xml (declared in robots.txt; not fetched). No separate product feed exposed; /export/ is disallowed.,primary
